p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Prf1	2.2306420448985e-24	1.41351894869621	0.448	0.257	3.69528161157885e-20
Ifi213	2.53412886673073e-24	-0.649201250989738	0.427	0.617	4.19803788062613e-20
Gimap7	4.80357102350016e-24	-0.643432890686206	0.561	0.683	7.95759575753037e-20
Ms4a6b	5.12150173016212e-24	-0.461840816612733	0.875	0.932	8.48427976618657e-20
Ccl4	1.73848533566142e-23	-1.34249255610189	0.494	0.685	2.87997480705671e-19
Styk1	2.08672918360029e-23	0.415493803876695	0.197	0.028	3.45687556555223e-19
Ell2	3.02975236871437e-23	0.500749649336383	0.353	0.139	5.01908777401222e-19
Eef1a1	3.21813423712628e-23	0.259553455053303	0.999	0.998	5.3311611772234e-19
Lmna	3.30029552006615e-23	0.696123990518875	0.432	0.205	5.46726955854158e-19
Atf3	3.62528552946709e-23	-0.770471575400359	0.287	0.484	6.00564800811518e-19
Scand1	4.11600958365168e-23	-0.455297686782253	0.752	0.871	6.81858147627738e-19
D16Ertd472e	4.16335306083948e-23	0.551143019223109	0.744	0.598	6.89701068058668e-19
Lat2	6.45011406250284e-23	0.469862517167765	0.351	0.137	1.06852589559422e-18
Klrk1	1.24270822364247e-22	0.538741437056897	0.715	0.506	2.05867044328612e-18
Rbm3	1.54345357737781e-22	0.338852871836441	0.983	0.968	2.55688519628407e-18
Ier5	1.81102528751562e-22	-0.560452029212344	0.807	0.894	3.00014449129837e-18
Gldc	1.93558702969377e-22	0.568950499798667	0.218	0.047	3.20649347339069e-18
Tnfaip3	2.88444501832436e-22	-0.584416029015261	0.89	0.918	4.77837161735614e-18
Ly6e	4.43076400715905e-22	-0.399753738453887	0.945	0.97	7.34000365425968e-18
Pdcd1lg2	6.63089993689888e-22	0.57082634052077	0.44	0.229	1.09847488354667e-17
Isy1	1.13187062393216e-21	0.495511051075867	0.724	0.552	1.87505687560602e-17
Pnrc1	3.58618495652179e-21	-0.369688491877826	0.971	0.975	5.940873998974e-17
Gzme	8.88443805321045e-21	2.06319517738998	0.14	0.008	1.47179600789484e-16
H2afz	9.4806818953024e-21	0.52153441144203	0.921	0.856	1.5705697627758e-16
Serpine2	1.07197645909324e-20	0.829394888525961	0.197	0.041	1.77583620213386e-16
Neurl3	1.18305651519259e-20	0.452737301848531	0.845	0.692	1.95985142306805e-16
Ifit3b	1.45654269429855e-20	-0.60160356856926	0.115	0.267	2.41290862737498e-16
Nr4a1	1.75390136663265e-20	-0.785204040822151	0.535	0.68	2.90551300396365e-16
Gm19585	2.01193496708345e-20	0.568978532371327	0.634	0.443	3.33297146647044e-16
Csf1	2.72607528737205e-20	0.595654819214593	0.206	0.047	4.51601632106054e-16
Eef2	2.88759000845814e-20	0.313146043995456	0.975	0.94	4.78358160801176e-16
X2410006H16Rik	3.69089868790572e-20	-0.452566628659319	0.84	0.896	6.11434276638462e-16
S100a4	3.78565404175814e-20	0.769335649923601	0.804	0.726	6.27131448557653e-16
Prdx1	4.2741831376875e-20	0.417445072153031	0.848	0.726	7.08061178589311e-16
Irs2	5.19932438210028e-20	0.477518486074184	0.344	0.144	8.61320077138733e-16
Gimap9	5.93476148222154e-20	-0.560948054769569	0.478	0.632	9.8315258714482e-16
Cst7	6.60388347718831e-20	0.708067736975686	0.612	0.473	1.09399933683101e-15
Bst2	8.63983536885635e-20	-0.516765844970959	0.874	0.92	1.43127512720474e-15
Klrc2	8.95861586064359e-20	0.437958113468202	0.376	0.172	1.48408430347422e-15
H2.K1	1.20378334232423e-19	0.22944699586745	1	1	1.99418748489432e-15
Npm1	1.31709386466305e-19	0.390525569449122	0.954	0.929	2.1818976962008e-15
Bend4	1.43069473121946e-19	0.486264245455931	0.367	0.174	2.37008889173816e-15
Ifi206	1.85825427371125e-19	-0.560388997426959	0.45	0.618	3.07838402983006e-15
Rbm47	1.9430695770553e-19	-0.349392733582742	0.031	0.126	3.21888906134981e-15
Clk1	2.47211012109605e-19	-0.416742141406319	0.788	0.863	4.09529762660772e-15
Dusp2	2.90701130036157e-19	-0.782843299404116	0.883	0.883	4.81575492017897e-15
Tbc1d10c	3.59800040946067e-19	-0.539227348781623	0.429	0.585	5.96044747831255e-15
Ppp1r15a	3.76465303393205e-19	-0.530419527246636	0.576	0.722	6.23652421601184e-15
Plac8	4.00746395564885e-19	0.640405767771848	0.893	0.839	6.63876478892789e-15
Ccl3	6.00114020217818e-19	-0.807506880302252	0.212	0.394	9.94148885892837e-15
Gzmc	6.91730270096996e-19	1.53528944421613	0.471	0.278	1.14592036544268e-14
S100a6	7.74002662743429e-19	0.596599634622306	0.904	0.886	1.28221281110076e-14
Nfkb1	8.1923098072451e-19	0.595730268901113	0.705	0.535	1.35713804266822e-14
Ybx3	8.72069791420199e-19	0.571063851662371	0.546	0.371	1.4446708164667e-14
Id2	9.75791178879821e-19	0.745298082347983	0.882	0.863	1.61649566693231e-14
Itga1	1.16732004367857e-18	0.515722253960668	0.227	0.069	1.93378238435793e-14
Gm49980	1.46592143347223e-18	-0.554152079575367	0.102	0.235	2.4284454466901e-14
Itgb7	1.52484036671771e-18	-0.521474991901254	0.173	0.331	2.52605055150456e-14
Ltb	1.54635189152337e-18	-0.455381565895423	0.817	0.888	2.56168654349762e-14
Chst12	2.59599112159714e-18	0.434360679387839	0.362	0.174	4.30051889203782e-14
Gipc2	3.31632857962825e-18	0.33491754550342	0.134	0.013	5.49382992501215e-14
Zbp1	3.42755963365462e-18	-0.435682997911185	0.756	0.844	5.67809528911224e-14
Glud1	3.84968872693625e-18	0.519015298667764	0.593	0.418	6.37739434504259e-14
Capg	4.00987058089445e-18	0.523698091252364	0.655	0.502	6.64275160430975e-14
Lag3	4.32794341371343e-18	0.681497720869987	0.408	0.23	7.16967105915767e-14
Cxcr3	6.48337754135776e-18	-0.474963109165316	0.275	0.462	1.07403632350133e-13
Npc2	7.597571554068e-18	-0.447523233709726	0.857	0.904	1.25861370364691e-13
Gzmd	1.25438122218024e-17	1.99255279217808	0.147	0.022	2.07800793266378e-13
Sema4c	1.38902302767123e-17	0.330577554941154	0.196	0.052	2.30105554764015e-13
Klrc1	1.74913675394443e-17	0.389911352764513	0.488	0.278	2.89761994658434e-13
Calm1	1.8195297065651e-17	0.269652594269308	0.985	0.976	3.01423291189575e-13
Daxx	1.88862013393299e-17	-0.562943563105601	0.316	0.478	3.1286881138734e-13
Rhoq	1.89990229994581e-17	0.407173445786496	0.301	0.128	3.14737815009022e-13
Nr4a2	3.39535735219353e-17	0.428184169717428	0.626	0.429	5.6247489896438e-13
Ywhaq	4.0285548222634e-17	0.448585235720675	0.705	0.558	6.67370391856154e-13
Tsc22d3	4.51201882059494e-17	-0.56461681370043	0.702	0.781	7.47461037819757e-13
Itgav	4.70699737621289e-17	0.59833941455487	0.484	0.3	7.79761185343427e-13
Dnajb1	4.9219958862405e-17	-0.720685711123219	0.596	0.716	8.15377838514601e-13
Calr	5.58562478613978e-17	0.392174842595844	0.872	0.763	9.25314602071916e-13
Bcl2l11	6.40578764624426e-17	0.584950423238437	0.626	0.462	1.06118278147682e-12
Gm47283	6.55275254374934e-17	-0.493537479211461	0.279	0.431	1.08552898639751e-12
Eef1g	6.7231375208911e-17	0.371106950903621	0.848	0.773	1.11375496171082e-12
Gimap4	7.00783449397944e-17	-0.420976737207384	0.851	0.883	1.16091786227263e-12
Prkar1a	7.38978372243844e-17	0.349268393338929	0.907	0.842	1.22419157145915e-12
Eif3h	7.89488731476896e-17	0.317890238379852	0.901	0.855	1.30786703256463e-12
Sp100	8.10341738203097e-17	-0.433798863857787	0.764	0.839	1.34241212350725e-12
Rpn1	9.12847781642516e-17	0.360605620942924	0.287	0.12	1.51222363506899e-12
Actg1	1.0784037944878e-16	0.332607692936617	0.996	0.997	1.7864837259485e-12
G0s2	1.11047364259979e-16	-0.501530647132474	0.042	0.136	1.83961063633081e-12
Cd4	1.15057277520244e-16	-0.51375446982068	0.068	0.18	1.90603885940036e-12
Isg20	2.46103047547068e-16	-0.549801537956535	0.662	0.76	4.07694308566472e-12
X1600014C10Rik	2.7425602915455e-16	-0.438995817342318	0.206	0.358	4.54332537897428e-12
Sult2b1	3.07136448076548e-16	0.436101476144489	0.264	0.104	5.0880223988361e-12
Rsad2	5.09201497542052e-16	-0.588991360738632	0.367	0.538	8.43543200828163e-12
Ikzf2	5.72899462578777e-16	0.617969347661067	0.632	0.472	9.49065249708003e-12
Eif4a1	5.88003177341921e-16	0.377419817100358	0.89	0.792	9.74086063584626e-12
Nme1	6.17376669266094e-16	0.515990611726458	0.678	0.541	1.02274619030621e-11
Ybx1	6.27249399891839e-16	0.360612171787432	0.902	0.838	1.03910135586082e-11
Il10ra	6.53757682701226e-16	-0.41974814882621	0.151	0.287	1.08301497716285e-11
Gimap6	7.10345601749734e-16	-0.415036881531568	0.763	0.841	1.17675852385861e-11
Lgals1	7.24325735502332e-16	0.419504762601496	0.948	0.946	1.19991801343316e-11
Mpc1	7.42420158449161e-16	0.423583328958734	0.567	0.38	1.22989323448688e-11
Tiprl	7.72581632772273e-16	0.65513190632262	0.575	0.442	1.27985873285055e-11
Ifit1	8.86161505054945e-16	-0.553844235908068	0.358	0.527	1.46801514927402e-11
Phf11b	1.04642571263215e-15	-0.558445979012307	0.558	0.675	1.73350883554641e-11
Bsg	1.1337161320915e-15	0.380402137515731	0.715	0.585	1.87811414442278e-11
Dad1	1.17736419941605e-15	0.243536812969914	0.906	0.831	1.95042153275262e-11
X2900026A02Rik	1.28000445315412e-15	0.268427096367472	0.153	0.032	2.12045537709511e-11
Stat1	1.56430818752596e-15	-0.475628944643183	0.744	0.822	2.59143294345550e-11
Nod1	1.60282620424181e-15	-0.229294047817656	0.041	0.131	2.65524188994698e-11
Upp1	1.81514343527738e-15	0.43598816036601	0.164	0.041	3.00696661488051e-11
Reep5	2.30942322413119e-15	0.332503340302394	0.827	0.778	3.82579051309572e-11
Rgcc	2.46482139119134e-15	0.237385309035639	0.486	0.295	4.08322311664757e-11
Rbpj	3.17823374382462e-15	0.450606638148847	0.56	0.402	5.26506202001986e-11
Kit	3.50051828841228e-15	0.280910304134932	0.153	0.033	5.79895859658379e-11
Rhob	4.08638237496897e-15	-0.583493444059272	0.376	0.516	6.7695010423736e-11
Calm2	7.6586330079928e-15	0.363427413122266	0.858	0.763	1.26872914410409e-10
Ifit2	7.74978895614096e-15	-0.537509501464519	0.223	0.369	1.28383003847431e-10
Galnt2	8.63125008616752e-15	0.400215532308374	0.287	0.131	1.42985288927451e-10
Nt5e	1.06252441699475e-14	0.460938495619759	0.393	0.218	1.7601779491935e-10
Ddit3	1.08388860036837e-14	-0.458842007968479	0.38	0.532	1.79556985537025e-10
Kcnq1ot1	1.20963826772642e-14	0.659436632460654	0.285	0.136	2.00388675431558e-10
Fcrl6	1.24110881990228e-14	0.226910885934026	0.101	0.006	2.05602087105012e-10
Atp5a1	1.52210495038379e-14	0.316991984859795	0.828	0.716	2.52151906080579e-10
Trim30a	1.58222303410874e-14	-0.435219492295805	0.641	0.733	2.62111067830454e-10
Gimap1	1.74060917141127e-14	-0.368660817049784	0.65	0.762	2.88349315335991e-10
Rasgrp1	1.97677680531329e-14	-0.415137739219209	0.234	0.377	3.27472845568199e-10
Sla2	2.22632580391411e-14	0.46136349957098	0.449	0.29	3.68813132676412e-10
Srgap3	2.38403469667313e-14	0.264139359543319	0.163	0.044	3.94939187850871e-10
Acot7	2.59361434449735e-14	0.390004256802176	0.477	0.304	4.29658152309432e-10
Gm156	2.66786808022099e-14	1.23005771598483	0.101	0.008	4.41959026169409e-10
Ppib	3.2207114702167e-14	0.292004349045088	0.914	0.856	5.33543062156099e-10
Gng5	3.45573585858273e-14	-0.304311650057829	0.874	0.907	5.72477202332815e-10
H2.T22	3.54813616501285e-14	-0.403728610888079	0.866	0.894	5.87784237096029e-10
Irf7	4.38262137182587e-14	-0.371302734559996	0.765	0.855	7.26025056456673e-10
Dusp14	5.6103054373166e-14	0.306973699808038	0.141	0.032	9.29403198745867e-10
Arpc3	5.77313458998434e-14	0.279422869905215	0.957	0.945	9.56377476176806e-10
Fau	6.4219340714364e-14	-0.175935726583761	0.999	0.998	1.06385759827415e-09
Rhoh	6.89681061404971e-14	-0.471188935840121	0.677	0.73	1.14252564632347e-09
Prdm1	6.93154167131673e-14	-0.399838436882845	0.068	0.166	1.14827919327033e-09
Creb3l2	7.53867740941153e-14	0.271583784844265	0.168	0.047	1.24885729964311e-09
Tagln2	8.24622849399358e-14	0.353341023462034	0.888	0.825	1.36607021231498e-09
C1qtnf6	8.65403323191107e-14	0.282496989549681	0.218	0.084	1.43362714519839e-09
Eif1	9.5102442592801e-14	0.197506140299673	0.999	1	1.57546706399234e-09
Tsc22d4	9.8718548585882e-14	-0.406987763278222	0.431	0.557	1.63537147587372e-09
Uap1	1.09073022592341e-13	0.465901434690646	0.313	0.166	1.80690369226472e-09
Cct4	1.10476226971441e-13	0.367252905254332	0.642	0.505	1.83014917600889e-09
Tpt1	1.13151831256556e-13	0.15545762716235	0.999	0.998	1.87447323659611e-09
Mitd1	1.45418457500258e-13	-0.424865285798408	0.242	0.38	2.40900216694927e-09
Klri2	1.64811773752413e-13	0.363627336209382	0.147	0.036	2.73027184398247e-09
Mid1	1.98968121026508e-13	-0.279432798621908	0.043	0.125	3.29610589292514e-09
Ahnak	2.01006556104769e-13	0.39055816499066	0.799	0.662	3.3298746084316e-09
Taf13	2.03034692128853e-13	0.298711796624399	0.293	0.14	3.36347270980658e-09
Phf11c	2.04418450172682e-13	-0.336393094029801	0.155	0.284	3.38639604556065e-09
Osbpl3	2.13945744366314e-13	0.331661272443919	0.355	0.189	3.54422520117236e-09
Eif4a2	2.22072254896331e-13	-0.36418992224917	0.758	0.804	3.67884897461263e-09
X1810026B05Rik	2.27119626023516e-13	-0.430380252609838	0.579	0.685	3.76246372470557e-09
Impdh2	2.65325242911432e-13	0.415464458197076	0.466	0.311	4.39537797407079e-09
Tmem165	3.07785713286528e-13	0.330579611601065	0.33	0.17	5.09877812630462e-09
Manf	3.45259271108279e-13	0.328682464167795	0.724	0.606	5.71956508517974e-09
Phf11a	3.91429221885695e-13	-0.466309832778395	0.166	0.287	6.48441648975843e-09
Nfkbid	4.15323105344069e-13	-0.457507550732072	0.241	0.382	6.88024256312984e-09
Isg15	5.13752161856724e-13	-0.599876532976214	0.862	0.886	8.5108183133185e-09
Dynll1	5.14867497753205e-13	0.291416884605874	0.903	0.844	8.5292949677796e-09
Itih5	5.50889861675767e-13	0.236527687008225	0.144	0.036	9.12604144852076e-09
Ece1	5.6103881670844e-13	0.412732554153578	0.246	0.11	9.29416903759202e-09
Gimap3	6.05263125860345e-13	-0.379216504907202	0.797	0.842	1.00267889430025e-08
Gpd2	7.65175726432954e-13	0.330635453760978	0.326	0.174	1.26759010840883e-08
Lilr4b	7.87915466524444e-13	-0.47453682070465	0.317	0.448	1.30526076184439e-08
Slfn4	9.65727535772885e-13	-0.555418218566708	0.163	0.289	1.59982423576136e-08
Eif5a	1.0277346829709e-12	0.330236070355952	0.901	0.844	1.70254527580959e-08
Satb1	1.22795597195008e-12	0.379654737779179	0.587	0.399	2.03423186313251e-08
Hist1h1c	1.28158933704272e-12	-0.429427065688965	0.403	0.539	2.12308089574496e-08
Ncl	1.29111213221333e-12	0.305491487970628	0.926	0.877	2.13885635822461e-08
Sh2d3c	1.31828964037303e-12	-0.310012699463976	0.089	0.189	2.18387861824196e-08
Ar	1.60495044212746e-12	0.383622846322609	0.285	0.139	2.65876090242835e-08
Litaf	1.68677873999047e-12	0.374144841429372	0.715	0.61	2.79431766066821e-08
Bzw1	1.9399967315719e-12	0.311020108935707	0.781	0.702	3.21379858552202e-08
Dnajc12	2.00577467374616e-12	0.245833640976577	0.118	0.024	3.32276632452788e-08
Ezr	2.09302501305165e-12	0.329900741553489	0.84	0.781	3.46730523662137e-08
Rbm39	2.48492901561813e-12	-0.253862320556069	0.983	0.986	4.11653340727299e-08
Junb	3.00156419889085e-12	-0.458998852099285	0.976	0.983	4.97239125188258e-08
Bcr	3.3661906565441e-12	0.22510894635504	0.187	0.068	5.57643144163095e-08
Il12rb2	3.56710619750854e-12	0.308215454232158	0.363	0.199	5.90926812679264e-08
Tmem163	3.71559031818867e-12	0.312119670774932	0.237	0.109	6.15524692111136e-08
Ube2l6	3.78925682141731e-12	-0.438512187501128	0.199	0.328	6.27728285035992e-08
Eomes	4.45436801151044e-12	-0.307841744015281	0.134	0.249	7.3791060478682e-08
Areg	5.95780799468439e-12	1.42272680147789	0.176	0.063	9.86970472399416e-08
Dtx3l	6.41318095885341e-12	-0.404272444166196	0.383	0.511	1.06240755764366e-07
P2ry10	6.45538643831153e-12	0.406737953052302	0.621	0.475	1.06939931737069e-07
Slc25a4	7.45111377372992e-12	0.364112970362447	0.648	0.527	1.2343515077561e-07
Ssr4	7.88854708494343e-12	0.278632511228075	0.78	0.7	1.30681671009173e-07
Txn2	8.11208586913873e-12	0.338770263404964	0.536	0.391	1.34384814508152e-07
Nfkb2	8.14344968254341e-12	0.388451151444087	0.541	0.386	1.34904387441014e-07
Ccnl1	8.51855546717653e-12	-0.301882245116087	0.82	0.847	1.41118389869246e-07
Syncrip	9.83907851425653e-12	0.354588264265348	0.557	0.404	1.62994174667174e-07
Dleu2	1.00688974665319e-11	-0.376835233331211	0.187	0.306	1.66801355430567e-07
BC147527	1.12011979619802e-11	-0.274811743057059	0.101	0.202	1.85559045438163e-07
Ppia	1.16096635435966e-11	0.210056895296575	0.996	0.994	1.92325686263221e-07
Kdm6b	1.57089987529219e-11	0.387119513854718	0.761	0.64	2.60235273340905e-07
Map3k8	1.65065785571472e-11	-0.438584408833312	0.214	0.331	2.734479803777e-07
Il1b	1.65940922085034e-11	-0.558803996904659	0.441	0.571	2.74897731526067e-07
Tmem123	1.84069142651447e-11	0.380269093991788	0.597	0.456	3.04928941716388e-07
Cct3	1.95432906344664e-11	0.33626406041836	0.549	0.401	3.2375415265057e-07
Apobec3	2.00640835119663e-11	-0.373676678819276	0.599	0.68	3.32381607459234e-07
Siva1	2.16206075498772e-11	0.421829848033357	0.448	0.311	3.58166984671265e-07
Gpsm3	2.18952000769609e-11	-0.364085157257248	0.617	0.702	3.62715884474934e-07
Jpt1	2.20441781593676e-11	0.295864450631832	0.855	0.751	3.65183855388083e-07
Maf	2.70863716305759e-11	-0.437053144842573	0.18	0.306	4.4871283243212e-07
Rsrc2	2.9095092312628e-11	-0.328968444911095	0.703	0.774	4.81989299250996e-07
Oas3	3.13056628769284e-11	-0.406809672694901	0.289	0.412	5.18609611219196e-07
Myl6	3.23162574957723e-11	0.213529888085806	0.989	0.978	5.35351121674964e-07
Cd244a	3.30764312348812e-11	0.267969022986059	0.182	0.071	5.47944159837042e-07
Ndufb5	3.38467997971093e-11	0.282036739209368	0.705	0.591	5.60706085438912e-07
Resf1	3.69156231943358e-11	-0.486488251872977	0.61	0.705	6.11544213837366e-07
Tes	3.69585618172738e-11	0.31805391697717	0.715	0.596	6.12255535064958e-07
Vcp	3.72162786656362e-11	0.32620817571538	0.589	0.443	6.16524872374929e-07
Ikzf4	3.88994670524165e-11	0.223560584303722	0.142	0.044	6.44408571190332e-07
Tnfaip8	3.932181914763e-11	-0.321466041355955	0.507	0.631	6.51405255999639e-07
Traf4	4.00714018017529e-11	0.362846968802816	0.37	0.23	6.63822842247839e-07
Igflr1	4.16141222470206e-11	0.423653724384177	0.363	0.219	6.89379549144143e-07
Cnbp	4.24204671644214e-11	0.233557405638092	0.94	0.886	7.02737459045805e-07
Psmd6	4.38090050254956e-11	0.290576692883427	0.401	0.249	7.2573997725236e-07
Tagap	4.41281059979861e-11	-0.336131099001069	0.154	0.27	7.31026203962637e-07
Polr2a	4.61813834343439e-11	0.339821037150914	0.547	0.394	7.65040797973341e-07
Ugcg	4.62361955839199e-11	0.358282526610136	0.679	0.558	7.65948816043216e-07
Ciapin1	4.66809001277605e-11	0.409892056686985	0.459	0.32	7.7331579151648e-07
Ninj1	4.70945172762455e-11	0.318079989179568	0.397	0.244	7.80167773198283e-07
Sidt2	4.99725561036288e-11	0.33854304962639	0.449	0.293	8.27845364412715e-07
Celf2	5.15346269014929e-11	-0.31431191043507	0.825	0.866	8.53722629250131e-07
Nme2	5.75683769619796e-11	0.310640847495526	0.878	0.784	9.53677732752154e-07
Hsp90b1	6.02647767053345e-11	0.278396053356742	0.807	0.721	9.98346290900572e-07
Baiap2	6.83183289570448e-11	0.281925949113944	0.257	0.126	1.1317614375024e-06
Psmb2	7.20674025555798e-11	0.287567455542913	0.719	0.604	1.19386859073573e-06
Nabp1	8.59606353665858e-11	0.395555247406351	0.604	0.467	1.42402388548286e-06
Mpc2	8.75651823350998e-11	0.318349169566465	0.609	0.484	1.45060481056326e-06
Rab5if	8.97551090935833e-11	0.333591888433536	0.607	0.476	1.4868831372443e-06
Smim3	9.82276684162873e-11	0.326325165705239	0.342	0.199	1.62723955498422e-06
Il2ra	1.00762343126637e-10	0.416901536074425	0.258	0.134	1.66922897623588e-06
Lrrc8d	1.02981930443084e-10	0.307501004133387	0.287	0.156	1.70599865972013e-06
Atp5f1	1.10282139450616e-10	0.268926168760929	0.836	0.748	1.8269339221389e-06
Gm8369	1.26744946011632e-10	-0.445984300235546	0.654	0.719	2.0996567756287e-06
Stk24	1.29679508583854e-10	0.341141894694052	0.686	0.584	2.14827073920013e-06
X9930111J21Rik2	1.3365361270446e-10	-0.390120641393304	0.302	0.423	2.21410574806208e-06
Ankrd39	1.35856620822449e-10	0.251689655525949	0.229	0.109	2.25060078054469e-06
Ndufs2	1.58277449094046e-10	0.30024991923237	0.43	0.289	2.62202422169197e-06
Napsa	1.74504042306063e-10	0.326513519853866	0.297	0.166	2.89083396484224e-06
Ndrg1	1.76325004884911e-10	0.252447002557302	0.173	0.069	2.92100003092343e-06
Chd7	1.80367152458084e-10	0.32890939618389	0.597	0.451	2.98796224762062e-06
Orai1	1.93236849747204e-10	0.357823075837413	0.653	0.528	3.20116165291218e-06
H2.D1	1.93761946260118e-10	0.145094232807623	0.999	0.998	3.20986040174511e-06
Atp10a	1.98185920619569e-10	0.320804403322329	0.345	0.21	3.28314796098379e-06
Nmrk1	2.07588797648484e-10	0.401299611883099	0.318	0.186	3.43891602184479e-06
